instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms,grid_wallclock_ms
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.3000,123,9989826827,9989822538,20,2254
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.2000,42,9998827387,9998822899,17,2254
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.1000,123,9998826909,9998822989,26,2254
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.1000,2026,9995297202,9995292594,26,2254
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.2000,123,9996827320,9996822747,23,2254
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.1000,2026,9995297202,9995292594,21,2254
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.2000,123,9998357185,9998353074,18,2254
docs\inst_test\instancias\n_1000_1,100,20,10,20,0.3000,2026,9998357180,9998353192,22,2254
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.1000,42,9999297471,9999292890,26,2254
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.1000,123,9998827353,9998822863,25,2254
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.2000,2026,9999357279,9999353123,20,2254
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.3000,123,9997886652,9997883428,20,2254
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.3000,42,9995356303,9995352910,21,2254
docs\inst_test\instancias\n_1000_1,100,20,15,5,0.3000,2026,9999886724,9999883437,21,2254
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.1000,123,9998827353,9998822863,21,2254
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.2000,2026,9999357176,9999353151,21,2254
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.1000,2026,9995297202,9995292594,23,2254
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.2000,42,9998827374,9998822833,24,2254
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.1000,42,9999297271,9999292847,26,2254
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.2000,123,9998357073,9998353031,24,2254
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.3000,42,9988826644,9988822288,21,2254
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.1000,123,9998826909,9998822989,22,2254
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.3000,123,9989826827,9989822538,24,2254
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.2000,123,9996827320,9996822747,22,2254
docs\inst_test\instancias\n_1000_1,100,20,15,10,0.3000,2026,9998357180,9998353192,24,2254
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.2000,2026,9997827318,9997822780,22,2254
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.1000,42,9998297184,9998292639,24,2254
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.1000,2026,9995297202,9995292594,25,2254
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.2000,42,9994297151,9994292470,25,2254
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.3000,2026,9998357180,9998353192,24,2254
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.3000,42,9988826429,9988822479,24,2254
docs\inst_test\instancias\n_1000_1,100,20,15,20,0.3000,123,9989826827,9989822538,24,2254
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.2000,2026,9999357281,9999353085,65,2254
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.2000,123,9998357187,9998353072,67,2254
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.3000,123,9999416581,9999413709,68,2254
