instance,population_size,generations,crossover_rate,mutation_rate,elite_size,tournament_size,stagnation,seed,threads,initial_value,best_value,total_weight,optimal_value,difference,gap_percent,stop_generation,elapsed_s
n_1000_1,80,500,0.8500,0.0050,5,5,50,202,16,9999826150,9999827212,9999821730,9999946233,119021,0.001190,298,0.4049
n_1000_1,80,500,0.8500,0.0050,5,5,100,4,16,9999826041,9999827201,9999821796,9999946233,119032,0.001190,500,0.6867
n_1000_1,80,500,0.8500,0.0050,5,5,100,12,16,9999826005,9999827190,9999821810,9999946233,119043,0.001190,401,0.5511
n_1000_1,80,500,0.8500,0.0050,5,5,100,202,16,9999826150,9999827257,9999821862,9999946233,118976,0.001190,500,0.6541
n_1000_1,80,500,0.8500,0.0100,3,3,50,4,16,9999826041,9999827003,9999821302,9999946233,119230,0.001192,500,0.7262
n_1000_1,80,500,0.8500,0.0100,3,3,50,12,16,9999826005,9999826970,9999821251,9999946233,119263,0.001193,375,0.5410
n_1000_1,80,500,0.8500,0.0100,3,3,50,202,16,9999826150,9999826972,9999821286,9999946233,119261,0.001193,448,0.6276
n_1000_1,80,500,0.8500,0.0100,3,3,100,4,16,9999826041,9999827003,9999821302,9999946233,119230,0.001192,500,0.8059
n_1000_1,80,500,0.8500,0.0100,3,3,100,12,16,9999826005,9999827034,9999821379,9999946233,119199,0.001192,500,0.7163
n_1000_1,80,500,0.8500,0.0100,3,3,100,202,16,9999826150,9999827015,9999821288,9999946233,119218,0.001192,500,0.7223
n_1000_1,80,500,0.8500,0.0100,3,5,50,4,16,9999826041,9999827173,9999821777,9999946233,119060,0.001191,402,0.5745
n_1000_1,80,500,0.8500,0.0100,3,5,50,12,16,9999826005,9999826990,9999821393,9999946233,119243,0.001192,314,0.4463
n_1000_1,80,500,0.8500,0.0100,3,5,50,202,16,9999826150,9999827170,9999821523,9999946233,119063,0.001191,336,0.4743
n_1000_1,80,500,0.8500,0.0100,3,5,100,4,16,9999826041,9999827173,9999821777,9999946233,119060,0.001191,452,0.6231
n_1000_1,80,500,0.8500,0.0100,3,5,100,12,16,9999826005,9999827058,9999821471,9999946233,119175,0.001192,500,0.7125
n_1000_1,80,500,0.8500,0.0100,3,5,100,202,16,9999826150,9999827170,9999821523,9999946233,119063,0.001191,386,0.5464
n_1000_1,80,500,0.8500,0.0100,5,3,50,4,16,9999826041,9999826895,9999821073,9999946233,119338,0.001193,244,0.3400
n_1000_1,80,500,0.8500,0.0100,5,3,50,12,16,9999826005,9999827020,9999821343,9999946233,119213,0.001192,262,0.3625
n_1000_1,80,500,0.8500,0.0100,5,3,50,202,16,9999826150,9999827140,9999821458,9999946233,119093,0.001191,430,0.5987
n_1000_1,80,500,0.8500,0.0100,5,3,100,4,16,9999826041,9999827016,9999821406,9999946233,119217,0.001192,500,0.6754
