instance,ants,iterations,alpha,beta,rho,q,stall,seed,best_value,total_weight,elapsed_ms
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,50,123,9989474305,9989473965,288
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,120,123,9989474305,9989473965,302
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,120,42,9989474328,9989473946,287
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,80,42,9989474328,9989473946,326
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,80,2026,9989474319,9989473912,296
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,1.0000,120,42,9989474328,9989473946,322
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,50,42,9989474377,9989473983,313
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,50,2026,9989474305,9989473965,318
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,50,42,9989474377,9989473983,334
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,80,42,9989474328,9989473946,363
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,80,123,9989474305,9989473965,360
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,120,2026,9989474305,9989473965,358
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,50,123,9989474305,9989473965,349
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.2000,2.0000,120,123,9989474305,9989473965,360
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,50,2026,9989474305,9989473965,361
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,80,42,9989474328,9989473946,363
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,80,2026,9989474305,9989473965,339
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,80,123,9989474305,9989473965,364
docs\inst_test\instancias\n_1000_1,20,200,1.0000,2.0000,0.1000,0.5000,50,42,9999474863,9999474297,144
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,120,2026,9989474305,9989473965,326
docs\inst_test\instancias\n_1000_1,20,200,1.0000,2.0000,0.1000,0.5000,50,123,9999474869,9999474397,114
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,120,42,9989474328,9989473946,354
docs\inst_test\instancias\n_1000_1,20,200,1.0000,2.0000,0.1000,0.5000,50,2026,9999474671,9999474514,119
docs\inst_test\instancias\n_1000_1,20,200,1.0000,2.0000,0.1000,0.5000,80,42,9999474849,9999474340,117
docs\inst_test\instancias\n_1000_1,20,200,0.8000,4.0000,0.3000,0.5000,120,123,9989474305,9989473965,349
docs\inst_test\instancias\n_1000_1,20,200,1.0000,2.0000,0.1000,0.5000,120,42,9999474743,9999474439,111
docs\inst_test\instancias\n_1000_1,20,200,1.0000,2.0000,0.1000,0.5000,80,2026,9999474818,9999474382,124
docs\inst_test\instancias\n_1000_1,20,200,1.0000,2.0000,0.1000,0.5000,120,123,9998474700,9998474619,118
